"","id","country","region","city","date","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","review_scores_rating","availability_30","price_30","revenue_30"
"1",36720,"germany","bv","munich","2020-04-25","Ludwigsvorstadt-Isarvorstadt",48.13057,11.56929,"Apartment","Entire home/apt",2,"1",1,"$95.00",2,730,98,0,95,2850
"2",49309,"germany","bv","munich","2020-04-25","Ludwigsvorstadt-Isarvorstadt",48.12456,11.55567,"Apartment","Private room",2,"2",2,"$40.00",14,180,98,30,NA,0
"3",97945,"germany","bv","munich","2020-04-25","Hadern",48.11476,11.48782,"Apartment","Entire home/apt",2,"1",1,"$80.00",2,90,97,0,80,2400
"4",114695,"germany","bv","munich","2020-04-25","Berg am Laim",48.11923,11.63726,"Apartment","Entire home/apt",5,"1",3,"$95.00",1,30,95,19,95,1045
"5",127383,"germany","bv","munich","2020-04-25","Maxvorstadt",48.15198,11.56486,"Apartment","Entire home/apt",4,"1",1,"$120.00",2,14,98,0,120,3600
"6",157808,"germany","bv","munich","2020-04-25","Schwabing-West",48.16381,11.56089,"Apartment","Private room",2,"1",1,"$35.00",1,36,NA,0,35,1050
"7",159634,"germany","bv","munich","2020-04-25","Pasing-Obermenzing",48.13898,11.46612,"Apartment","Entire home/apt",3,"1",1,"$55.00",5,90,93,0,52,1560
"8",170154,"germany","bv","munich","2020-04-25","Sendling-Westpark",48.10751,11.52733,"House","Private room",4,"1",2,"$55.00",2,1125,99,16,42.1428571428571,590
"9",170815,"germany","bv","munich","2020-04-25","Neuhausen-Nymphenburg",48.16132,11.54154,"Apartment","Entire home/apt",2,"1",1,"$65.00",3,14,91,30,NA,0
"10",171749,"germany","bv","munich","2020-04-25","Untergiesing-Harlaching",48.10583,11.57843,"Apartment","Private room",2,"1",1,"$55.00",3,10,98,30,NA,0
"11",172672,"germany","bv","munich","2020-04-25","Schwabing-West",48.16341,11.56366,"Apartment","Private room",2,"1",1,"$54.00",1,4,97,29,56,56
"12",172977,"germany","bv","munich","2020-04-25","Maxvorstadt",48.14816,11.55449,"Apartment","Private room",2,"1",0,"$67.00",2,30,97,11,72.5263157894737,1378
"13",178114,"germany","bv","munich","2020-04-25","Maxvorstadt",48.15341,11.57267,"Apartment","Entire home/apt",2,"1",1,"$59.00",3,30,95,6,63.375,1521
"14",179640,"germany","bv","munich","2020-04-25","Bogenhausen",48.14574,11.63908,"Condominium","Private room",1,"1",1,"$35.00",2,30,98,29,39,39
"15",183634,"germany","bv","munich","2020-04-25","Allach-Untermenzing",48.17449,11.44619,"Igloo","Shared room",16,"1",0,"$50.00",1,730,NA,30,NA,0
"16",186596,"germany","bv","munich","2020-04-25","Au-Haidhausen",48.12198,11.57644,"Apartment","Shared room",5,"1",3,"$85.00",1,1125,93,30,NA,0
"17",187359,"germany","bv","munich","2020-04-25","Neuhausen-Nymphenburg",48.15849,11.54106,"Apartment","Private room",2,"1",1,"$69.00",2,7,97,0,78,2340
"18",187386,"germany","bv","munich","2020-04-25","Berg am Laim",48.12199,11.62761,"Apartment","Private room",2,"1",2,"$59.00",2,7,95,30,NA,0
"19",189551,"germany","bv","munich","2020-04-25","Schwanthalerhöhe",48.1354,11.54618,"Apartment","Entire home/apt",6,"2",4,"$120.00",3,365,96,28,120,240
"20",189582,"germany","bv","munich","2020-04-25","Bogenhausen",48.15672,11.64901,"Apartment","Private room",1,"1",1,"$19.00",30,365,92,0,25,750
"21",189606,"germany","bv","munich","2020-04-25","Au-Haidhausen",48.12551,11.58045,"Apartment","Entire home/apt",4,"1",2,"$51.00",2,60,91,15,51,765
"22",190383,"germany","bv","munich","2020-04-25","Berg am Laim",48.12452,11.63223,"Apartment","Private room",1,"1",1,"$25.00",2,730,98,3,25,675
"23",190453,"germany","bv","munich","2020-04-25","Tudering-Riem",48.13211,11.69417,"Apartment","Entire home/apt",6,"2",3,"$200.00",3,180,96,0,200,6000
"24",190474,"germany","bv","munich","2020-04-25","Ludwigsvorstadt-Isarvorstadt",48.12989,11.56057,"Apartment","Entire home/apt",8,"3",4,"$180.00",1,365,93,13,180,3060
"25",190529,"germany","bv","munich","2020-04-25","Ludwigsvorstadt-Isarvorstadt",48.12989,11.56057,"Apartment","Private room",4,"1",2,"$50.00",1,5,96,4,53.0769230769231,1380
"26",190564,"germany","bv","munich","2020-04-25","Ludwigsvorstadt-Isarvorstadt",48.12989,11.56057,"Apartment","Private room",2,"1",1,"$90.00",1,5,98,30,NA,0
"27",190565,"germany","bv","munich","2020-04-25","Ludwigsvorstadt-Isarvorstadt",48.12989,11.56057,"Apartment","Private room",2,"1",1,"$80.00",1,5,98,30,NA,0
"28",190653,"germany","bv","munich","2020-04-25","Ludwigsvorstadt-Isarvorstadt",48.12951,11.56103,"Apartment","Entire home/apt",2,"1",1,"$60.00",1,730,95,27,61.6666666666667,185
"29",191405,"germany","bv","munich","2020-04-25","Au-Haidhausen",48.12175,11.57879,"Apartment","Entire home/apt",2,"1",1,"$65.00",2,7,99,0,65,1950
"30",191429,"germany","bv","munich","2020-04-25","Ludwigsvorstadt-Isarvorstadt",48.12821,11.55607,"Apartment","Private room",1,"1",1,"$32.00",140,365,93,30,NA,0
"31",191535,"germany","bv","munich","2020-04-25","Sendling",48.11468,11.53897,"Apartment","Private room",4,"1",1,"$240.00",1,14,97,0,240,7200
"32",192933,"germany","bv","munich","2020-04-25","Ludwigsvorstadt-Isarvorstadt",48.13012,11.56642,"Apartment","Shared room",4,"1",0,"$70.00",3,21,96,23,70,490
"33",193424,"germany","bv","munich","2020-04-25","Schwabing-Freimann",48.15262,11.5846,"Apartment","Entire home/apt",2,"1",1,"$85.00",2,30,96,25,75,375
"34",193463,"germany","bv","munich","2020-04-25","Maxvorstadt",48.15519,11.5715,"Apartment","Private room",1,"1",1,"$49.00",2,7,95,28,49,98
"35",193477,"germany","bv","munich","2020-04-25","Maxvorstadt",48.15617,11.56845,"Apartment","Private room",1,"1",1,"$38.00",2,4,96,24,38,228
