"","id","country","region","city","date","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","review_scores_rating","availability_30","price_30","revenue_30"
"1",6623,"italy","veneto","venice","2020-09-08","San Polo",45.43823,12.32902,"Entire apartment","Entire home/apt",4,"2",4,"$225.00",7,365,99,29,225,225
"2",6624,"italy","veneto","venice","2020-09-08","San Polo",45.43845,12.32869,"Entire apartment","Entire home/apt",6,"2",6,"$250.00",7,50,100,29,250,250
"3",12074,"italy","veneto","venice","2020-09-08","San Polo",45.43827,12.32764,"Entire apartment","Entire home/apt",4,"2",4,"$122.00",4,28,99,0,122,3660
"4",27116,"italy","veneto","venice","2020-09-08","San Marco",45.43221,12.33411,"Private room in bed and breakfast","Private room",4,"1",2,"$176.00",1,1125,96,20,177.4,1774
"5",33934,"italy","veneto","venice","2020-09-08","Cannaregio",45.4448,12.33121,"Entire apartment","Entire home/apt",4,"1",1,"$110.00",2,30,81,29,110,110
"6",44527,"italy","veneto","venice","2020-09-08","Cannaregio",45.44754,12.32918,"Entire apartment","Entire home/apt",6,"3",3,"$200.00",2,365,96,25,200,1000
"7",44528,"italy","veneto","venice","2020-09-08","Giudecca",45.42587,12.32556,"Entire apartment","Entire home/apt",7,"3",7,"$95.00",180,365,93,21,95,855
"8",44998,"italy","veneto","venice","2020-09-08","Castello",45.43854,12.34959,"Entire apartment","Entire home/apt",6,"2",4,"$140.00",5,10,60,29,140,140
"9",45036,"italy","veneto","venice","2020-09-08","San Polo",45.43723,12.32451,"Entire apartment","Entire home/apt",2,"1",1,"$65.00",1,1,78,25,65,325
"10",46054,"italy","veneto","venice","2020-09-08","San Marco",45.43439,12.33509,"Entire apartment","Entire home/apt",6,"2",2,"$180.00",1,1,81,26,180,720
"11",46158,"italy","veneto","venice","2020-09-08","San Marco",45.43468,12.33613,"Entire apartment","Entire home/apt",2,"1",1,"$70.00",1,1,73,25,70,350
"12",46171,"italy","veneto","venice","2020-09-08","Cannaregio",45.44185,12.33355,"Entire apartment","Entire home/apt",2,"1",1,"$110.00",3,10,78,21,110,990
"13",47383,"italy","veneto","venice","2020-09-08","San Polo",45.43846,12.33235,"Room in bed and breakfast","Hotel room",2,"1",1,"$49.00",2,365,98,29,48,48
"14",47549,"italy","veneto","venice","2020-09-08","Dorsoduro",45.43593,12.32521,"Entire apartment","Entire home/apt",5,"3",3,"$136.00",2,365,96,0,136,4080
"15",49656,"italy","veneto","venice","2020-09-08","Dorsoduro",45.43549,12.32612,"Entire apartment","Entire home/apt",3,"2",2,"$98.00",3,31,96,26,110,440
"16",51847,"italy","veneto","venice","2020-09-08","Castello",45.43546,12.34636,"Entire apartment","Entire home/apt",3,"1",2,"$80.00",1,1,90,24,80,480
"17",56687,"italy","veneto","venice","2020-09-08","Cannaregio",45.44525,12.33166,"Entire apartment","Entire home/apt",6,"2",6,"$150.00",3,30,96,29,150,150
"18",60007,"italy","veneto","venice","2020-09-08","San Marco",45.43302,12.332,"Entire apartment","Entire home/apt",4,"2",3,"$89.00",1,1125,95,23,89,623
"19",60020,"italy","veneto","venice","2020-09-08","Santa Croce",45.44059,12.32952,"Room in bed and breakfast","Hotel room",2,"1",1,"$46.00",2,29,86,24,44.3333333333333,266
"20",60304,"italy","veneto","venice","2020-09-08","Cannaregio",45.44334,12.33483,"Private room in bed and breakfast","Private room",2,"1",1,"$120.00",1,1000,98,29,120,120
"21",61714,"italy","veneto","venice","2020-09-08","Giudecca",45.42708,12.31823,"Private room in bed and breakfast","Private room",2,"1",1,"$100.00",2,730,98,30,NA,0
