"","id","country","region","city","date","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","review_scores_rating","availability_30","price_30","revenue_30"
"1",6400,"italy","lombardy","milan","2020-08-31","TIBALDI",45.44195,9.17797,"Private room in apartment","Private room",1,"3",1,"$100.00",4,5,98,23,100,700
"2",23986,"italy","lombardy","milan","2020-08-31","NAVIGLI",45.44991,9.17597,"Entire apartment","Entire home/apt",4,"1",1,"$150.00",1,730,92,24,150,900
"3",32119,"italy","lombardy","milan","2020-08-31","VIALE MONZA",45.51988,9.2231,"Entire apartment","Entire home/apt",4,"1",4,"$107.00",3,730,97,29,75,75
"4",32649,"italy","lombardy","milan","2020-08-31","VIALE MONZA",45.51942,9.22615,"Entire apartment","Entire home/apt",4,"1",3,"$72.00",3,730,96,29,70,70
"5",37256,"italy","lombardy","milan","2020-08-31","GUASTALLA",45.47074,9.20578,"Private room in apartment","Private room",1,"1",1,"$55.00",2,730,98,27,55,165
"6",40470,"italy","lombardy","milan","2020-08-31","VIALE MONZA",45.52111,9.22727,"Entire apartment","Entire home/apt",4,"2",4,"$182.00",3,90,92,30,NA,0
"7",42732,"italy","lombardy","milan","2020-08-31","TICINESE",45.45664,9.17662,"Entire apartment","Entire home/apt",4,"2",0,"$290.00",2,30,81,27,290,870
"8",46536,"italy","lombardy","milan","2020-08-31","VIALE MONZA",45.52213,9.22693,"Entire apartment","Entire home/apt",5,"1",5,"$76.00",3,730,90,29,75,75
"9",52181,"italy","lombardy","milan","2020-08-31","BAGGIO",45.46443,9.09046,"Entire apartment","Entire home/apt",3,"1",2,"$60.00",4,30,NA,0,60,1800
"10",55055,"italy","lombardy","milan","2020-08-31","BUENOS AIRES - VENEZIA",45.48055,9.21629,"Entire apartment","Entire home/apt",3,"2",1,"$145.00",3,180,100,30,NA,0
"11",59226,"italy","lombardy","milan","2020-08-31","GARIBALDI REPUBBLICA",45.48263,9.19674,"Entire apartment","Entire home/apt",2,"1",1,"$120.00",2,10,72,29,120,120
"12",65142,"italy","lombardy","milan","2020-08-31","CENTRALE",45.48023,9.20181,"Entire condominium","Entire home/apt",2,"1",1,"$52.00",20,365,85,7,53.7391304347826,1236
"13",69749,"italy","lombardy","milan","2020-08-31","XXII MARZO",45.46739,9.20786,"Entire apartment","Entire home/apt",4,"2",2,"$140.00",2,15,98,27,140,420
"14",70591,"italy","lombardy","milan","2020-08-31","SARPI",45.48207,9.17906,"Private room in apartment","Private room",2,"1",1,"$100.00",1,6,97,29,100,100
"15",73892,"italy","lombardy","milan","2020-08-31","BRERA",45.47015,9.19134,"Entire apartment","Entire home/apt",2,"1",1,"$101.00",2,60,94,29,94,94
"16",74835,"italy","lombardy","milan","2020-08-31","DUOMO",45.4689,9.17943,"Entire apartment","Entire home/apt",2,"1",1,"$280.00",7,16,100,0,280,8400
"17",75741,"italy","lombardy","milan","2020-08-31","BRERA",45.47179,9.18378,"Entire apartment","Entire home/apt",2,"1",1,"$150.00",2,60,97,0,150,4500
"18",76357,"italy","lombardy","milan","2020-08-31","DUOMO",45.4604,9.17653,"Entire apartment","Entire home/apt",1,"1",1,"$80.00",4,20,97,28,80,160
"19",76671,"italy","lombardy","milan","2020-08-31","TICINESE",45.4559,9.17545,"Entire condominium","Entire home/apt",4,"1",2,"$80.00",3,730,100,29,80,80
"20",77958,"italy","lombardy","milan","2020-08-31","BRERA",45.47117,9.19135,"Entire apartment","Entire home/apt",2,"1",1,"$100.00",2,365,97,29,100,100
"21",79696,"italy","lombardy","milan","2020-08-31","TICINESE",45.44844,9.1822,"Entire loft","Entire home/apt",3,"1",2,"$90.00",2,1125,97,29,90,90
"22",81202,"italy","lombardy","milan","2020-08-31","ISOLA",45.49019,9.19659,"Entire apartment","Entire home/apt",2,"1",1,"$79.00",3,14,99,29,79,79
"23",81908,"italy","lombardy","milan","2020-08-31","BANDE NERE",45.45364,9.14172,"Entire apartment","Entire home/apt",4,"2",4,"$250.00",7,365,90,22,250,2000
"24",82227,"italy","lombardy","milan","2020-08-31","WASHINGTON",45.46438,9.16144,"Entire apartment","Entire home/apt",4,"1",2,"$56.00",1,1125,96,29,56,56
"25",82635,"italy","lombardy","milan","2020-08-31","XXII MARZO",45.45853,9.21568,"Entire apartment","Entire home/apt",2,"1",1,"$90.00",5,7,100,27,90,270
"26",83335,"italy","lombardy","milan","2020-08-31","PORTA ROMANA",45.4509,9.2117,"Entire apartment","Entire home/apt",4,"1",2,"$190.00",3,7,97,28,190,380
"27",84741,"italy","lombardy","milan","2020-08-31","LAMBRATE",45.47057,9.24333,"Private room in loft","Private room",2,"1",1,"$23.00",2,30,92,8,23.2272727272727,511
"28",84903,"italy","lombardy","milan","2020-08-31","LAMBRATE",45.4708,9.24082,"Entire loft","Entire home/apt",6,"1",3,"$45.00",2,16,95,15,45,675
"29",88130,"italy","lombardy","milan","2020-08-31","VILLAPIZZONE",45.49743,9.14572,"Entire apartment","Entire home/apt",4,"2",2,"$195.00",2,730,100,28,195,390
"30",90830,"italy","lombardy","milan","2020-08-31","NAVIGLI",45.44658,9.16419,"Entire loft","Entire home/apt",6,"3",3,"$235.00",2,45,89,28,235,470
"31",92978,"italy","lombardy","milan","2020-08-31","NAVIGLI",45.44716,9.17269,"Private room in apartment","Private room",2,"1",1,"$30.00",2,5,100,0,30,900
"32",93025,"italy","lombardy","milan","2020-08-31","GUASTALLA",45.47169,9.19748,"Entire apartment","Entire home/apt",3,"1",2,"$126.00",2,30,97,0,125.333333333333,3760
"33",93232,"italy","lombardy","milan","2020-08-31","XXII MARZO",45.46635,9.21423,"Private room in apartment","Private room",1,"1",1,"$55.00",5,60,96,29,55,55
"34",93888,"italy","lombardy","milan","2020-08-31","CENTRALE",45.48336,9.20513,"Entire apartment","Entire home/apt",2,"1",1,"$70.00",1,1125,94,0,70,2100
"35",94233,"italy","lombardy","milan","2020-08-31","ISOLA",45.48712,9.193,"Entire apartment","Entire home/apt",4,"1",2,"$95.00",1,730,99,0,95,2850
"36",94354,"italy","lombardy","milan","2020-08-31","MACIACHINI - MAGGIOLINA",45.49765,9.19382,"Private room in apartment","Private room",2,"1",1,"$28.00",1,20,84,30,NA,0
"37",98119,"italy","lombardy","milan","2020-08-31","ISOLA",45.4875,9.19183,"Private room in apartment","Private room",2,"1",1,"$65.00",2,365,96,30,NA,0
"38",98500,"italy","lombardy","milan","2020-08-31","CITTA' STUDI",45.48539,9.22686,"Entire apartment","Entire home/apt",3,"1",2,"$230.00",1,180,88,30,NA,0
"39",100638,"italy","lombardy","milan","2020-08-31","ADRIANO",45.50695,9.23904,"Private room in villa","Private room",1,"2",1,"$30.00",1,365,90,30,NA,0
"40",101087,"italy","lombardy","milan","2020-08-31","STADERA",45.43079,9.18234,"Entire condominium","Entire home/apt",4,"3",3,"$60.00",3,120,100,0,60,1800
