"","id","country","region","city","date","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","review_scores_rating","availability_30","price_30","revenue_30"
"1",77327,"belgium","vlg","ghent","2020-06-18","Stationsbuurt Noord",51.03694,3.72968,"Loft","Entire home/apt",4,"0",4,"$89.00",2,730,82,29,89,89
"2",137110,"belgium","vlg","ghent","2020-06-18","Elisabethbegijnhof - Papegaai",51.05785,3.71192,"Townhouse","Private room",4,"2",2,"$50.00",1,730,84,1,50,1450
"3",185483,"belgium","vlg","ghent","2020-06-18","Macharius - Heirnis",51.05213,3.74049,"Apartment","Entire home/apt",2,"1",1,"$45.00",6,1125,80,0,49,1470
"4",187870,"belgium","vlg","ghent","2020-06-18","Watersportbaan - Ekkergem",51.05168,3.70283,"Apartment","Entire home/apt",2,"1",1,"$55.00",2,90,97,18,56,672
"5",191534,"belgium","vlg","ghent","2020-06-18","Macharius - Heirnis",51.05213,3.74049,"Apartment","Entire home/apt",2,"0",1,"$45.00",6,1125,85,0,44.1,1323
"6",204245,"belgium","vlg","ghent","2020-06-18","Binnenstad",51.05842,3.72721,"Apartment","Entire home/apt",2,"1",1,"$90.00",1,14,96,30,NA,0
"7",216715,"belgium","vlg","ghent","2020-06-18","Binnenstad",51.05756,3.7318,"Loft","Entire home/apt",4,"1",3,"$70.00",2,365,95,29,70,70
"8",252269,"belgium","vlg","ghent","2020-06-18","Elisabethbegijnhof - Papegaai",51.05216,3.71993,"Townhouse","Entire home/apt",8,"4",8,"$215.00",2,120,98,27,233.333333333333,700
"9",263229,"belgium","vlg","ghent","2020-06-18","Watersportbaan - Ekkergem",51.05217,3.70358,"House","Entire home/apt",4,"2",2,"$180.00",2,30,93,30,NA,0
"10",291173,"belgium","vlg","ghent","2020-06-18","Sluizeken - Tolhuis - Ham",51.05954,3.722,"Townhouse","Private room",2,"1",1,"$90.00",2,365,91,30,NA,0
"11",392245,"belgium","vlg","ghent","2020-06-18","Stationsbuurt Zuid",51.02971,3.71369,"Apartment","Private room",1,"1",1,"$32.00",3,160,96,17,37,481
"12",432857,"belgium","vlg","ghent","2020-06-18","Sint Denijs Westrem",51.03113,3.68348,"Boat","Private room",2,"1",1,"$299.00",1,1125,100,30,NA,0
"13",599325,"belgium","vlg","ghent","2020-06-18","Ledeberg",51.03454,3.74631,"House","Private room",2,"1",1,"$30.00",2,1125,91,0,31.5,945
"14",696209,"belgium","vlg","ghent","2020-06-18","Elisabethbegijnhof - Papegaai",51.05021,3.71624,"Apartment","Entire home/apt",2,"0",1,"$75.00",6,200,98,17,82.6923076923077,1075
"15",743981,"belgium","vlg","ghent","2020-06-18","Elisabethbegijnhof - Papegaai",51.05021,3.71624,"Apartment","Entire home/apt",2,"0",1,"$75.00",6,200,96,0,82.5,2475
"16",769351,"belgium","vlg","ghent","2020-06-18","Mariakerke",51.07862,3.69008,"House","Entire home/apt",4,"3",3,"$80.00",1,90,92,0,80,2400
"17",778353,"belgium","vlg","ghent","2020-06-18","Oud Gentbrugge",51.04177,3.74516,"Townhouse","Private room",2,"1",1,"$24.00",2,60,79,29,39,39
"18",782514,"belgium","vlg","ghent","2020-06-18","Sint Amandsberg",51.06837,3.77456,"Apartment","Entire home/apt",2,"1",1,"$120.00",3,60,98,28,95,190
"19",835795,"belgium","vlg","ghent","2020-06-18","Binnenstad",51.05343,3.73002,"Loft","Entire home/apt",4,"1",2,"$100.00",2,1125,95,20,69,690
"20",845854,"belgium","vlg","ghent","2020-06-18","Macharius - Heirnis",51.0543,3.73527,"Apartment","Entire home/apt",4,"1",1,"$85.00",4,30,97,0,85,2550
